tender_id,department,tender_category,estimated_value,contract_amount,price_ratio,bid_count,winning_vendor_id,vendor_age_days,has_shared_relationship,has_unusual_bid_pattern,score,review_priority,review_candidate,signals,explanation
TEN0024,IT & Digital Services,Office Supplies,1404000,1846000,1.315,5,VEN0098,538,True,False,70,High,True,high_price;new_vendor;shared_relationship,"Contract amount is 1.31x the estimated value, above the 1.25x review threshold. Winning vendor VEN0098 was registered 538 days before the tender date, within the 730-day recent-registration window. Winning vendor VEN0098 shares a registered address or contact group with at least one other vendor."
TEN0277,Health,Consulting,7298000,10431000,1.429,2,VEN0064,984,True,False,65,High,True,high_price;low_competition;shared_relationship,"Contract amount is 1.43x the estimated value, above the 1.25x review threshold. Only 2 bids were submitted for this tender. Winning vendor VEN0064 shares a registered address or contact group with at least one other vendor."
TEN0292,Transport,Consulting,5788000,5431000,0.938,2,VEN0064,363,True,False,55,High,True,low_competition;new_vendor;shared_relationship,"Only 2 bids were submitted for this tender. Winning vendor VEN0064 was registered 363 days before the tender date, within the 730-day recent-registration window. Winning vendor VEN0064 shares a registered address or contact group with at least one other vendor."
TEN0087,Education,Consulting,1278000,1176000,0.92,2,VEN0064,303,True,False,55,High,True,low_competition;new_vendor;shared_relationship,"Only 2 bids were submitted for this tender. Winning vendor VEN0064 was registered 303 days before the tender date, within the 730-day recent-registration window. Winning vendor VEN0064 shares a registered address or contact group with at least one other vendor."
TEN0303,Health,Office Supplies,985000,900000,0.914,7,VEN0014,587,True,True,55,High,True,new_vendor;shared_relationship;unusual_bid_pattern,"Winning vendor VEN0014 was registered 587 days before the tender date, within the 730-day recent-registration window. Winning vendor VEN0014 shares a registered address or contact group with at least one other vendor. Two or more competing bids were within 0.3% of each other, an unusually narrow spread."
TEN0039,Health,Consulting,7623000,11235000,1.474,5,VEN0019,2947,True,False,50,High,True,high_price;shared_relationship,"Contract amount is 1.47x the estimated value, above the 1.25x review threshold. Winning vendor VEN0019 shares a registered address or contact group with at least one other vendor."
TEN0021,Public Works,Medical Supplies,7564000,11795000,1.559,7,VEN0047,229,False,False,50,High,True,high_price;new_vendor,"Contract amount is 1.56x the estimated value, above the 1.25x review threshold. Winning vendor VEN0047 was registered 229 days before the tender date, within the 730-day recent-registration window."
TEN0018,Education,Medical Supplies,1254000,1745000,1.392,6,VEN0114,92,False,False,50,High,True,high_price;new_vendor,"Contract amount is 1.39x the estimated value, above the 1.25x review threshold. Winning vendor VEN0114 was registered 92 days before the tender date, within the 730-day recent-registration window."
TEN0121,Public Works,Construction,48017000,75711000,1.577,5,VEN0074,2303,True,False,50,High,True,high_price;shared_relationship,"Contract amount is 1.58x the estimated value, above the 1.25x review threshold. Winning vendor VEN0074 shares a registered address or contact group with at least one other vendor."
TEN0112,IT & Digital Services,Consulting,1340000,2030000,1.515,6,VEN0037,71,False,False,50,High,True,high_price;new_vendor,"Contract amount is 1.51x the estimated value, above the 1.25x review threshold. Winning vendor VEN0037 was registered 71 days before the tender date, within the 730-day recent-registration window."
